id;answer_text;question_id;insert_timestamp;form_token
1;Sí;26;2018-07-27 13:07:36.243025;2018-07-27 13:07:36_337.4816585788285
2;Tal vez;23;2018-07-27 13:07:36.249524;2018-07-27 13:07:36_337.4816585788285
3;2.0 DHA;8;2018-07-27 13:07:36.252412;2018-07-27 13:07:36_337.4816585788285
4;Otros;9;2018-07-27 13:07:36.254652;2018-07-27 13:07:36_337.4816585788285
5;Paypal;27;2018-07-27 13:07:36.257148;2018-07-27 13:07:36_337.4816585788285
6;2;17;2018-07-27 13:07:36.260045;2018-07-27 13:07:36_337.4816585788285
7;Tal vez;24;2018-07-27 13:07:36.262735;2018-07-27 13:07:36_337.4816585788285
8;No;12;2018-07-27 13:07:36.265029;2018-07-27 13:07:36_337.4816585788285
9;Sí;6;2018-07-27 13:07:36.267367;2018-07-27 13:07:36_337.4816585788285
10;08029;4;2018-07-27 13:07:36.269674;2018-07-27 13:07:36_337.4816585788285
11;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:07:36.271943;2018-07-27 13:07:36_337.4816585788285
12;No;10;2018-07-27 13:07:36.274712;2018-07-27 13:07:36_337.4816585788285
13;Entre 15 y 450 kW;2;2018-07-27 13:07:36.277514;2018-07-27 13:07:36_337.4816585788285
14;3;22;2018-07-27 13:07:36.279889;2018-07-27 13:07:36_337.4816585788285
15;3;21;2018-07-27 13:07:36.282298;2018-07-27 13:07:36_337.4816585788285
16;120;1;2018-07-27 13:07:36.284661;2018-07-27 13:07:36_337.4816585788285
17;Domiciliada;5;2018-07-27 13:07:36.286889;2018-07-27 13:07:36_337.4816585788285
18;1 (cobertura mínima);13;2018-07-27 13:07:36.288974;2018-07-27 13:07:36_337.4816585788285
19;Precio fijo anual;3;2018-07-27 13:07:36.292660;2018-07-27 13:07:36_337.4816585788285
20;No;14;2018-07-27 13:07:36.295084;2018-07-27 13:07:36_337.4816585788285
21;Hogar;7;2018-07-27 13:07:36.297456;2018-07-27 13:07:36_337.4816585788285
22;2;25;2018-07-27 13:07:36.299928;2018-07-27 13:07:36_337.4816585788285
23;Sí;11;2018-07-27 13:07:36.302514;2018-07-27 13:07:36_337.4816585788285
24;5 (Lo más importante);18;2018-07-27 13:07:36.304734;2018-07-27 13:07:36_337.4816585788285
25;No;15;2018-07-27 13:07:36.307160;2018-07-27 13:07:36_337.4816585788285
26;4;16;2018-07-27 13:07:36.309810;2018-07-27 13:07:36_337.4816585788285
27;4;19;2018-07-27 13:07:36.312007;2018-07-27 13:07:36_337.4816585788285
28;Sí;26;2018-07-27 13:18:31.802138;2018-07-27 13:18:31_878.5313409167634
29;No;23;2018-07-27 13:18:31.808699;2018-07-27 13:18:31_878.5313409167634
30;2.0 DHA;8;2018-07-27 13:18:31.811312;2018-07-27 13:18:31_878.5313409167634
31;Otros;9;2018-07-27 13:18:31.813453;2018-07-27 13:18:31_878.5313409167634
32;Bancaria;27;2018-07-27 13:18:31.816169;2018-07-27 13:18:31_878.5313409167634
33;3;17;2018-07-27 13:18:31.818926;2018-07-27 13:18:31_878.5313409167634
34;Sí;24;2018-07-27 13:18:31.821156;2018-07-27 13:18:31_878.5313409167634
35;No;12;2018-07-27 13:18:31.823283;2018-07-27 13:18:31_878.5313409167634
36;No se;6;2018-07-27 13:18:31.825592;2018-07-27 13:18:31_878.5313409167634
37;08028;4;2018-07-27 13:18:31.827665;2018-07-27 13:18:31_878.5313409167634
38;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:18:31.829710;2018-07-27 13:18:31_878.5313409167634
39;Tal vez;10;2018-07-27 13:18:31.832340;2018-07-27 13:18:31_878.5313409167634
40;Menor de 10 kW;2;2018-07-27 13:18:31.834860;2018-07-27 13:18:31_878.5313409167634
41;2;22;2018-07-27 13:18:31.837094;2018-07-27 13:18:31_878.5313409167634
42;3;21;2018-07-27 13:18:31.839185;2018-07-27 13:18:31_878.5313409167634
43;355;1;2018-07-27 13:18:31.841371;2018-07-27 13:18:31_878.5313409167634
44;Domiciliada;5;2018-07-27 13:18:31.843426;2018-07-27 13:18:31_878.5313409167634
45;3;13;2018-07-27 13:18:31.845537;2018-07-27 13:18:31_878.5313409167634
46;Precio fijo anual;3;2018-07-27 13:18:31.847785;2018-07-27 13:18:31_878.5313409167634
47;No;14;2018-07-27 13:18:31.850394;2018-07-27 13:18:31_878.5313409167634
48;Hogar;7;2018-07-27 13:18:31.852854;2018-07-27 13:18:31_878.5313409167634
49;1 (Nada);25;2018-07-27 13:18:31.854992;2018-07-27 13:18:31_878.5313409167634
50;Sí;11;2018-07-27 13:18:31.857134;2018-07-27 13:18:31_878.5313409167634
51;4;18;2018-07-27 13:18:31.859247;2018-07-27 13:18:31_878.5313409167634
52;No;15;2018-07-27 13:18:31.861406;2018-07-27 13:18:31_878.5313409167634
53;3;16;2018-07-27 13:18:31.863532;2018-07-27 13:18:31_878.5313409167634
54;3;19;2018-07-27 13:18:31.866400;2018-07-27 13:18:31_878.5313409167634
55;Tal vez;26;2018-07-27 13:24:44.566120;2018-07-27 13:24:44_94.39906739373171
56;Tal vez;23;2018-07-27 13:24:44.572464;2018-07-27 13:24:44_94.39906739373171
57;2.0 A;8;2018-07-27 13:24:44.574953;2018-07-27 13:24:44_94.39906739373171
58;Smart home;9;2018-07-27 13:24:44.578298;2018-07-27 13:24:44_94.39906739373171
59;Domiciliacion;27;2018-07-27 13:24:44.581858;2018-07-27 13:24:44_94.39906739373171
60;4;17;2018-07-27 13:24:44.584892;2018-07-27 13:24:44_94.39906739373171
61;Tal vez;24;2018-07-27 13:24:44.588476;2018-07-27 13:24:44_94.39906739373171
62;No;12;2018-07-27 13:24:44.591469;2018-07-27 13:24:44_94.39906739373171
63;Sí;6;2018-07-27 13:24:44.594720;2018-07-27 13:24:44_94.39906739373171
64;08203;4;2018-07-27 13:24:44.597491;2018-07-27 13:24:44_94.39906739373171
65;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:24:44.599947;2018-07-27 13:24:44_94.39906739373171
66;No;10;2018-07-27 13:24:44.602112;2018-07-27 13:24:44_94.39906739373171
67;Menor de 10 kW;2;2018-07-27 13:24:44.604668;2018-07-27 13:24:44_94.39906739373171
68;3;22;2018-07-27 13:24:44.607257;2018-07-27 13:24:44_94.39906739373171
69;5 (Me encantaría);21;2018-07-27 13:24:44.609879;2018-07-27 13:24:44_94.39906739373171
70;264;1;2018-07-27 13:24:44.612972;2018-07-27 13:24:44_94.39906739373171
71;Domiciliada;5;2018-07-27 13:24:44.615382;2018-07-27 13:24:44_94.39906739373171
72;1 (cobertura mínima);13;2018-07-27 13:24:44.617711;2018-07-27 13:24:44_94.39906739373171
73;Precio indexado al Mercado Eléctrico;3;2018-07-27 13:24:44.619948;2018-07-27 13:24:44_94.39906739373171
74;Sí;14;2018-07-27 13:24:44.622467;2018-07-27 13:24:44_94.39906739373171
75;Hogar;7;2018-07-27 13:24:44.624721;2018-07-27 13:24:44_94.39906739373171
76;3;25;2018-07-27 13:24:44.627464;2018-07-27 13:24:44_94.39906739373171
77;Sí;11;2018-07-27 13:24:44.630267;2018-07-27 13:24:44_94.39906739373171
78;5 (Lo más importante);18;2018-07-27 13:24:44.632650;2018-07-27 13:24:44_94.39906739373171
79;No;15;2018-07-27 13:24:44.635079;2018-07-27 13:24:44_94.39906739373171
80;4;16;2018-07-27 13:24:44.637347;2018-07-27 13:24:44_94.39906739373171
81;5 (Es muy relevante para mi);19;2018-07-27 13:24:44.639652;2018-07-27 13:24:44_94.39906739373171
82;No;26;2018-07-27 13:31:17.774050;2018-07-27 13:31:17_668.1936759132082
83;Sí;23;2018-07-27 13:31:17.781793;2018-07-27 13:31:17_668.1936759132082
84;2.0 DHA;8;2018-07-27 13:31:17.784582;2018-07-27 13:31:17_668.1936759132082
85;Otros;9;2018-07-27 13:31:17.787633;2018-07-27 13:31:17_668.1936759132082
86;Transferencia;27;2018-07-27 13:31:17.792024;2018-07-27 13:31:17_668.1936759132082
87;5 (Lo más importante);17;2018-07-27 13:31:17.794663;2018-07-27 13:31:17_668.1936759132082
88;No;24;2018-07-27 13:31:17.797140;2018-07-27 13:31:17_668.1936759132082
89;No;12;2018-07-27 13:31:17.799393;2018-07-27 13:31:17_668.1936759132082
90;Sí;6;2018-07-27 13:31:17.801616;2018-07-27 13:31:17_668.1936759132082
91;08025;4;2018-07-27 13:31:17.804357;2018-07-27 13:31:17_668.1936759132082
92;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:31:17.807204;2018-07-27 13:31:17_668.1936759132082
93;Sí;10;2018-07-27 13:31:17.809672;2018-07-27 13:31:17_668.1936759132082
94;Menor de 10 kW;2;2018-07-27 13:31:17.812175;2018-07-27 13:31:17_668.1936759132082
95;4;22;2018-07-27 13:31:17.814784;2018-07-27 13:31:17_668.1936759132082
96;5 (Me encantaría);21;2018-07-27 13:31:17.817267;2018-07-27 13:31:17_668.1936759132082
97;184;1;2018-07-27 13:31:17.819681;2018-07-27 13:31:17_668.1936759132082
98;Transferencia bancária;5;2018-07-27 13:31:17.822548;2018-07-27 13:31:17_668.1936759132082
99;3;13;2018-07-27 13:31:17.825041;2018-07-27 13:31:17_668.1936759132082
100;Precio indexado al Mercado Eléctrico;3;2018-07-27 13:31:17.827410;2018-07-27 13:31:17_668.1936759132082
101;No;14;2018-07-27 13:31:17.829861;2018-07-27 13:31:17_668.1936759132082
102;Hogar;7;2018-07-27 13:31:17.832150;2018-07-27 13:31:17_668.1936759132082
103;3;25;2018-07-27 13:31:17.834291;2018-07-27 13:31:17_668.1936759132082
104;No;11;2018-07-27 13:31:17.836541;2018-07-27 13:31:17_668.1936759132082
105;4;18;2018-07-27 13:31:17.839360;2018-07-27 13:31:17_668.1936759132082
106;No;15;2018-07-27 13:31:17.841859;2018-07-27 13:31:17_668.1936759132082
107;4;16;2018-07-27 13:31:17.844151;2018-07-27 13:31:17_668.1936759132082
108;5 (Es muy relevante para mi);19;2018-07-27 13:31:17.846457;2018-07-27 13:31:17_668.1936759132082
109;Sí;26;2018-07-27 13:33:04.255291;2018-07-27 13:33:04_232.59619555344491
110;Tal vez;23;2018-07-27 13:33:04.263884;2018-07-27 13:33:04_232.59619555344491
111;2.0 A;8;2018-07-27 13:33:04.266562;2018-07-27 13:33:04_232.59619555344491
112;Otros;9;2018-07-27 13:33:04.268867;2018-07-27 13:33:04_232.59619555344491
113;Paypal;27;2018-07-27 13:33:04.271918;2018-07-27 13:33:04_232.59619555344491
114;3;17;2018-07-27 13:33:04.274829;2018-07-27 13:33:04_232.59619555344491
115;Tal vez;24;2018-07-27 13:33:04.277298;2018-07-27 13:33:04_232.59619555344491
116;Tal vez;12;2018-07-27 13:33:04.279758;2018-07-27 13:33:04_232.59619555344491
117;Sí;6;2018-07-27 13:33:04.282079;2018-07-27 13:33:04_232.59619555344491
118;28722;4;2018-07-27 13:33:04.284121;2018-07-27 13:33:04_232.59619555344491
119;Prefiero un precio más alto y no tener permanencia.;20;2018-07-27 13:33:04.286551;2018-07-27 13:33:04_232.59619555344491
120;Tal vez;10;2018-07-27 13:33:04.289454;2018-07-27 13:33:04_232.59619555344491
121;Menor de 10 kW;2;2018-07-27 13:33:04.292116;2018-07-27 13:33:04_232.59619555344491
122;2;22;2018-07-27 13:33:04.294579;2018-07-27 13:33:04_232.59619555344491
123;3;21;2018-07-27 13:33:04.296829;2018-07-27 13:33:04_232.59619555344491
124;189;1;2018-07-27 13:33:04.299435;2018-07-27 13:33:04_232.59619555344491
125;Domiciliada;5;2018-07-27 13:33:04.301570;2018-07-27 13:33:04_232.59619555344491
126;1 (cobertura mínima);13;2018-07-27 13:33:04.304073;2018-07-27 13:33:04_232.59619555344491
127;Precio indexado al Mercado Eléctrico;3;2018-07-27 13:33:04.306731;2018-07-27 13:33:04_232.59619555344491
128;No;14;2018-07-27 13:33:04.309092;2018-07-27 13:33:04_232.59619555344491
129;Hogar;7;2018-07-27 13:33:04.311329;2018-07-27 13:33:04_232.59619555344491
130;2;25;2018-07-27 13:33:04.313624;2018-07-27 13:33:04_232.59619555344491
131;No;11;2018-07-27 13:33:04.315937;2018-07-27 13:33:04_232.59619555344491
132;4;18;2018-07-27 13:33:04.318097;2018-07-27 13:33:04_232.59619555344491
133;No;15;2018-07-27 13:33:04.320495;2018-07-27 13:33:04_232.59619555344491
134;5 (Lo más importante);16;2018-07-27 13:33:04.323186;2018-07-27 13:33:04_232.59619555344491
135;3;19;2018-07-27 13:33:04.325538;2018-07-27 13:33:04_232.59619555344491
136;No;26;2018-07-27 13:35:00.579068;2018-07-27 13:35:00_163.95905857466653
137;No;23;2018-07-27 13:35:00.586139;2018-07-27 13:35:00_163.95905857466653
138;2.1 A;8;2018-07-27 13:35:00.589328;2018-07-27 13:35:00_163.95905857466653
139;Otros;9;2018-07-27 13:35:00.591953;2018-07-27 13:35:00_163.95905857466653
140;Transferencia bancaria;27;2018-07-27 13:35:00.594305;2018-07-27 13:35:00_163.95905857466653
141;3;17;2018-07-27 13:35:00.596669;2018-07-27 13:35:00_163.95905857466653
142;No;24;2018-07-27 13:35:00.598886;2018-07-27 13:35:00_163.95905857466653
143;Sí;12;2018-07-27 13:35:00.601459;2018-07-27 13:35:00_163.95905857466653
144;Sí;6;2018-07-27 13:35:00.604531;2018-07-27 13:35:00_163.95905857466653
145;08023;4;2018-07-27 13:35:00.606954;2018-07-27 13:35:00_163.95905857466653
146;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:35:00.609330;2018-07-27 13:35:00_163.95905857466653
147;No;10;2018-07-27 13:35:00.611583;2018-07-27 13:35:00_163.95905857466653
148;Entre 10 y 15 kW;2;2018-07-27 13:35:00.613728;2018-07-27 13:35:00_163.95905857466653
149;3;22;2018-07-27 13:35:00.615920;2018-07-27 13:35:00_163.95905857466653
150;3;21;2018-07-27 13:35:00.618528;2018-07-27 13:35:00_163.95905857466653
151;1340;1;2018-07-27 13:35:00.621282;2018-07-27 13:35:00_163.95905857466653
152;Domiciliada;5;2018-07-27 13:35:00.623644;2018-07-27 13:35:00_163.95905857466653
153;3;13;2018-07-27 13:35:00.626272;2018-07-27 13:35:00_163.95905857466653
154;Precio fijo anual;3;2018-07-27 13:35:00.628972;2018-07-27 13:35:00_163.95905857466653
155;Sí;14;2018-07-27 13:35:00.631516;2018-07-27 13:35:00_163.95905857466653
156;Hogar;7;2018-07-27 13:35:00.634021;2018-07-27 13:35:00_163.95905857466653
157;1 (Nada);25;2018-07-27 13:35:00.636938;2018-07-27 13:35:00_163.95905857466653
158;Sí;11;2018-07-27 13:35:00.639348;2018-07-27 13:35:00_163.95905857466653
159;4;18;2018-07-27 13:35:00.641468;2018-07-27 13:35:00_163.95905857466653
160;No;15;2018-07-27 13:35:00.643453;2018-07-27 13:35:00_163.95905857466653
161;3;16;2018-07-27 13:35:00.645474;2018-07-27 13:35:00_163.95905857466653
162;4;19;2018-07-27 13:35:00.647542;2018-07-27 13:35:00_163.95905857466653
163;No;26;2018-07-27 13:36:29.587418;2018-07-27 13:36:29_761.2813809728146
164;No;23;2018-07-27 13:36:29.595153;2018-07-27 13:36:29_761.2813809728146
165;2.0 A;8;2018-07-27 13:36:29.597547;2018-07-27 13:36:29_761.2813809728146
166;Otros;9;2018-07-27 13:36:29.600389;2018-07-27 13:36:29_761.2813809728146
167;efectivo;27;2018-07-27 13:36:29.603262;2018-07-27 13:36:29_761.2813809728146
168;3;17;2018-07-27 13:36:29.605919;2018-07-27 13:36:29_761.2813809728146
169;No;24;2018-07-27 13:36:29.608295;2018-07-27 13:36:29_761.2813809728146
170;No;12;2018-07-27 13:36:29.611838;2018-07-27 13:36:29_761.2813809728146
171;No;6;2018-07-27 13:36:29.614105;2018-07-27 13:36:29_761.2813809728146
172;08201;4;2018-07-27 13:36:29.616759;2018-07-27 13:36:29_761.2813809728146
173;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:36:29.619508;2018-07-27 13:36:29_761.2813809728146
174;No;10;2018-07-27 13:36:29.621948;2018-07-27 13:36:29_761.2813809728146
175;Menor de 10 kW;2;2018-07-27 13:36:29.624126;2018-07-27 13:36:29_761.2813809728146
176;1 (Nada);22;2018-07-27 13:36:29.626342;2018-07-27 13:36:29_761.2813809728146
177;1 (No me interesa para nada);21;2018-07-27 13:36:29.628579;2018-07-27 13:36:29_761.2813809728146
178;484;1;2018-07-27 13:36:29.631396;2018-07-27 13:36:29_761.2813809728146
179;Domiciliada;5;2018-07-27 13:36:29.634158;2018-07-27 13:36:29_761.2813809728146
180;1 (cobertura mínima);13;2018-07-27 13:36:29.636871;2018-07-27 13:36:29_761.2813809728146
181;Precio indexado al Mercado Eléctrico;3;2018-07-27 13:36:29.639392;2018-07-27 13:36:29_761.2813809728146
182;No;14;2018-07-27 13:36:29.641653;2018-07-27 13:36:29_761.2813809728146
183;Hogar;7;2018-07-27 13:36:29.643934;2018-07-27 13:36:29_761.2813809728146
184;1 (Nada);25;2018-07-27 13:36:29.646169;2018-07-27 13:36:29_761.2813809728146
185;No;11;2018-07-27 13:36:29.648511;2018-07-27 13:36:29_761.2813809728146
186;1 (Muy poco importante);18;2018-07-27 13:36:29.651296;2018-07-27 13:36:29_761.2813809728146
187;No;15;2018-07-27 13:36:29.653980;2018-07-27 13:36:29_761.2813809728146
188;4;16;2018-07-27 13:36:29.656394;2018-07-27 13:36:29_761.2813809728146
189;1 (Me resulta indiferente);19;2018-07-27 13:36:29.658853;2018-07-27 13:36:29_761.2813809728146
190;No;26;2018-07-27 13:57:27.267202;2018-07-27 13:57:27_231.5679184544821
191;Sí;23;2018-07-27 13:57:27.274593;2018-07-27 13:57:27_231.5679184544821
192;3.1 A;8;2018-07-27 13:57:27.277176;2018-07-27 13:57:27_231.5679184544821
193;Vehículo eléctrico;9;2018-07-27 13:57:27.279407;2018-07-27 13:57:27_231.5679184544821
194;paypal;27;2018-07-27 13:57:27.281921;2018-07-27 13:57:27_231.5679184544821
195;3;17;2018-07-27 13:57:27.284888;2018-07-27 13:57:27_231.5679184544821
196;Sí;24;2018-07-27 13:57:27.287770;2018-07-27 13:57:27_231.5679184544821
197;Sí;12;2018-07-27 13:57:27.290316;2018-07-27 13:57:27_231.5679184544821
198;Sí;6;2018-07-27 13:57:27.292703;2018-07-27 13:57:27_231.5679184544821
199;29011;4;2018-07-27 13:57:27.294867;2018-07-27 13:57:27_231.5679184544821
200;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:57:27.297110;2018-07-27 13:57:27_231.5679184544821
201;Sí;10;2018-07-27 13:57:27.299876;2018-07-27 13:57:27_231.5679184544821
202;Entre 15 y 450 kW;2;2018-07-27 13:57:27.304287;2018-07-27 13:57:27_231.5679184544821
203;4;22;2018-07-27 13:57:27.306700;2018-07-27 13:57:27_231.5679184544821
204;5 (Me encantaría);21;2018-07-27 13:57:27.308894;2018-07-27 13:57:27_231.5679184544821
205;1637;1;2018-07-27 13:57:27.311164;2018-07-27 13:57:27_231.5679184544821
206;Transferencia bancária;5;2018-07-27 13:57:27.313369;2018-07-27 13:57:27_231.5679184544821
207;4;13;2018-07-27 13:57:27.315895;2018-07-27 13:57:27_231.5679184544821
208;Precio fijo anual;3;2018-07-27 13:57:27.318698;2018-07-27 13:57:27_231.5679184544821
209;Sí;14;2018-07-27 13:57:27.321700;2018-07-27 13:57:27_231.5679184544821
210;Empresa;7;2018-07-27 13:57:27.324219;2018-07-27 13:57:27_231.5679184544821
211;4;25;2018-07-27 13:57:27.326537;2018-07-27 13:57:27_231.5679184544821
212;No;11;2018-07-27 13:57:27.328791;2018-07-27 13:57:27_231.5679184544821
213;5 (Lo más importante);18;2018-07-27 13:57:27.331134;2018-07-27 13:57:27_231.5679184544821
214;No;15;2018-07-27 13:57:27.333758;2018-07-27 13:57:27_231.5679184544821
215;5 (Lo más importante);16;2018-07-27 13:57:27.336506;2018-07-27 13:57:27_231.5679184544821
216;3;19;2018-07-27 13:57:27.339037;2018-07-27 13:57:27_231.5679184544821
217;Sí;26;2018-07-27 14:01:50.285995;2018-07-27 14:01:50_182.88506585121223
218;Sí;23;2018-07-27 14:01:50.294973;2018-07-27 14:01:50_182.88506585121223
219;3.1 A;8;2018-07-27 14:01:50.298450;2018-07-27 14:01:50_182.88506585121223
220;Vehículo eléctrico;9;2018-07-27 14:01:50.300998;2018-07-27 14:01:50_182.88506585121223
