id;answer_text;question_id;insert_timestamp;form_token
221;paypal;27;2018-07-27 14:01:50.303299;2018-07-27 14:01:50_182.88506585121223
222;5 (Lo más importante);17;2018-07-27 14:01:50.305728;2018-07-27 14:01:50_182.88506585121223
223;Sí;24;2018-07-27 14:01:50.308144;2018-07-27 14:01:50_182.88506585121223
224;Sí;12;2018-07-27 14:01:50.310423;2018-07-27 14:01:50_182.88506585121223
225;Sí;6;2018-07-27 14:01:50.313205;2018-07-27 14:01:50_182.88506585121223
226;27002;4;2018-07-27 14:01:50.316007;2018-07-27 14:01:50_182.88506585121223
227;Prefiero un precio más alto y no tener permanencia.;20;2018-07-27 14:01:50.318262;2018-07-27 14:01:50_182.88506585121223
228;No;10;2018-07-27 14:01:50.320660;2018-07-27 14:01:50_182.88506585121223
229;Menor de 10 kW;2;2018-07-27 14:01:50.322863;2018-07-27 14:01:50_182.88506585121223
230;5 (El máximo a cambio de la máxima calidad);22;2018-07-27 14:01:50.325133;2018-07-27 14:01:50_182.88506585121223
231;5 (Me encantaría);21;2018-07-27 14:01:50.327489;2018-07-27 14:01:50_182.88506585121223
232;3044;1;2018-07-27 14:01:50.330165;2018-07-27 14:01:50_182.88506585121223
233;Domiciliada;5;2018-07-27 14:01:50.332653;2018-07-27 14:01:50_182.88506585121223
234;5 (cobertura máxima);13;2018-07-27 14:01:50.334907;2018-07-27 14:01:50_182.88506585121223
235;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:01:50.337285;2018-07-27 14:01:50_182.88506585121223
236;No;14;2018-07-27 14:01:50.339546;2018-07-27 14:01:50_182.88506585121223
237;Empresa;7;2018-07-27 14:01:50.341783;2018-07-27 14:01:50_182.88506585121223
238;5 (El máximo a cambio de olvidarme de cualquier gestión);25;2018-07-27 14:01:50.344022;2018-07-27 14:01:50_182.88506585121223
239;Sí;11;2018-07-27 14:01:50.346645;2018-07-27 14:01:50_182.88506585121223
240;5 (Lo más importante);18;2018-07-27 14:01:50.349213;2018-07-27 14:01:50_182.88506585121223
241;Sí;15;2018-07-27 14:01:50.351436;2018-07-27 14:01:50_182.88506585121223
242;5 (Lo más importante);16;2018-07-27 14:01:50.353704;2018-07-27 14:01:50_182.88506585121223
243;5 (Es muy relevante para mi);19;2018-07-27 14:01:50.355973;2018-07-27 14:01:50_182.88506585121223
244;Tal vez;26;2018-07-27 14:03:11.261686;2018-07-27 14:03:11_494.2566433909372
245;Sí;23;2018-07-27 14:03:11.273372;2018-07-27 14:03:11_494.2566433909372
246;3.1 A;8;2018-07-27 14:03:11.276267;2018-07-27 14:03:11_494.2566433909372
247;Otros;9;2018-07-27 14:03:11.279356;2018-07-27 14:03:11_494.2566433909372
248;nd;27;2018-07-27 14:03:11.282642;2018-07-27 14:03:11_494.2566433909372
249;1 (Muy poco importante);17;2018-07-27 14:03:11.285892;2018-07-27 14:03:11_494.2566433909372
250;Tal vez;24;2018-07-27 14:03:11.288986;2018-07-27 14:03:11_494.2566433909372
251;Tal vez;12;2018-07-27 14:03:11.292879;2018-07-27 14:03:11_494.2566433909372
252;Sí;6;2018-07-27 14:03:11.296159;2018-07-27 14:03:11_494.2566433909372
253;207;4;2018-07-27 14:03:11.299633;2018-07-27 14:03:11_494.2566433909372
254;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 14:03:11.302707;2018-07-27 14:03:11_494.2566433909372
255;No;10;2018-07-27 14:03:11.305427;2018-07-27 14:03:11_494.2566433909372
256;Entre 10 y 15 kW;2;2018-07-27 14:03:11.308417;2018-07-27 14:03:11_494.2566433909372
257;2;22;2018-07-27 14:03:11.312633;2018-07-27 14:03:11_494.2566433909372
258;2;21;2018-07-27 14:03:11.315532;2018-07-27 14:03:11_494.2566433909372
259;3044;1;2018-07-27 14:03:11.317951;2018-07-27 14:03:11_494.2566433909372
260;Transferencia bancária;5;2018-07-27 14:03:11.320464;2018-07-27 14:03:11_494.2566433909372
261;3;13;2018-07-27 14:03:11.323002;2018-07-27 14:03:11_494.2566433909372
262;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:03:11.325554;2018-07-27 14:03:11_494.2566433909372
263;Sí;14;2018-07-27 14:03:11.328362;2018-07-27 14:03:11_494.2566433909372
264;Empresa;7;2018-07-27 14:03:11.331173;2018-07-27 14:03:11_494.2566433909372
265;1 (Nada);25;2018-07-27 14:03:11.333712;2018-07-27 14:03:11_494.2566433909372
266;No;11;2018-07-27 14:03:11.336096;2018-07-27 14:03:11_494.2566433909372
267;5 (Lo más importante);18;2018-07-27 14:03:11.338511;2018-07-27 14:03:11_494.2566433909372
268;No;15;2018-07-27 14:03:11.341447;2018-07-27 14:03:11_494.2566433909372
269;1 (Muy poco importante);16;2018-07-27 14:03:11.344824;2018-07-27 14:03:11_494.2566433909372
270;1 (Me resulta indiferente);19;2018-07-27 14:03:11.347363;2018-07-27 14:03:11_494.2566433909372
271;Tal vez;26;2018-07-27 14:07:57.855983;2018-07-27 14:07:57_412.42363586555473
272;Sí;23;2018-07-27 14:07:57.863513;2018-07-27 14:07:57_412.42363586555473
273;3.0 A;8;2018-07-27 14:07:57.866056;2018-07-27 14:07:57_412.42363586555473
274;Vehículo eléctrico;9;2018-07-27 14:07:57.868251;2018-07-27 14:07:57_412.42363586555473
275;paypal;27;2018-07-27 14:07:57.870507;2018-07-27 14:07:57_412.42363586555473
276;1 (Muy poco importante);17;2018-07-27 14:07:57.872822;2018-07-27 14:07:57_412.42363586555473
277;Tal vez;24;2018-07-27 14:07:57.875693;2018-07-27 14:07:57_412.42363586555473
278;Tal vez;12;2018-07-27 14:07:57.878504;2018-07-27 14:07:57_412.42363586555473
279;Sí;6;2018-07-27 14:07:57.880822;2018-07-27 14:07:57_412.42363586555473
280;08024;4;2018-07-27 14:07:57.882995;2018-07-27 14:07:57_412.42363586555473
281;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 14:07:57.885162;2018-07-27 14:07:57_412.42363586555473
282;No;10;2018-07-27 14:07:57.887450;2018-07-27 14:07:57_412.42363586555473
283;Menor de 10 kW;2;2018-07-27 14:07:57.889669;2018-07-27 14:07:57_412.42363586555473
284;2;22;2018-07-27 14:07:57.892601;2018-07-27 14:07:57_412.42363586555473
285;2;21;2018-07-27 14:07:57.895291;2018-07-27 14:07:57_412.42363586555473
286;199;1;2018-07-27 14:07:57.897535;2018-07-27 14:07:57_412.42363586555473
287;Transferencia bancária;5;2018-07-27 14:07:57.899718;2018-07-27 14:07:57_412.42363586555473
288;3;13;2018-07-27 14:07:57.901938;2018-07-27 14:07:57_412.42363586555473
289;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:07:57.904117;2018-07-27 14:07:57_412.42363586555473
290;Sí;14;2018-07-27 14:07:57.906672;2018-07-27 14:07:57_412.42363586555473
291;Empresa;7;2018-07-27 14:07:57.909562;2018-07-27 14:07:57_412.42363586555473
292;1 (Nada);25;2018-07-27 14:07:57.912077;2018-07-27 14:07:57_412.42363586555473
293;No;11;2018-07-27 14:07:57.914365;2018-07-27 14:07:57_412.42363586555473
294;5 (Lo más importante);18;2018-07-27 14:07:57.916681;2018-07-27 14:07:57_412.42363586555473
295;No;15;2018-07-27 14:07:57.918903;2018-07-27 14:07:57_412.42363586555473
296;1 (Muy poco importante);16;2018-07-27 14:07:57.921129;2018-07-27 14:07:57_412.42363586555473
297;1 (Me resulta indiferente);19;2018-07-27 14:07:57.923709;2018-07-27 14:07:57_412.42363586555473
298;Sí;26;2018-07-27 14:09:22.899064;2018-07-27 14:09:22_660.0256319292138
299;No;23;2018-07-27 14:09:22.906693;2018-07-27 14:09:22_660.0256319292138
300;3.0 A;8;2018-07-27 14:09:22.909843;2018-07-27 14:09:22_660.0256319292138
301;Otros;9;2018-07-27 14:09:22.912501;2018-07-27 14:09:22_660.0256319292138
302;paypal;27;2018-07-27 14:09:22.915377;2018-07-27 14:09:22_660.0256319292138
303;4;17;2018-07-27 14:09:22.918410;2018-07-27 14:09:22_660.0256319292138
304;Tal vez;24;2018-07-27 14:09:22.921271;2018-07-27 14:09:22_660.0256319292138
305;Sí;12;2018-07-27 14:09:22.924915;2018-07-27 14:09:22_660.0256319292138
306;No;6;2018-07-27 14:09:22.927717;2018-07-27 14:09:22_660.0256319292138
307;28006;4;2018-07-27 14:09:22.930588;2018-07-27 14:09:22_660.0256319292138
308;Prefiero un precio más alto y no tener permanencia.;20;2018-07-27 14:09:22.933185;2018-07-27 14:09:22_660.0256319292138
309;Sí;10;2018-07-27 14:09:22.935808;2018-07-27 14:09:22_660.0256319292138
310;Menor de 10 kW;2;2018-07-27 14:09:22.938714;2018-07-27 14:09:22_660.0256319292138
311;4;22;2018-07-27 14:09:22.941822;2018-07-27 14:09:22_660.0256319292138
312;4;21;2018-07-27 14:09:22.944810;2018-07-27 14:09:22_660.0256319292138
313;127;1;2018-07-27 14:09:22.947752;2018-07-27 14:09:22_660.0256319292138
314;Domiciliada;5;2018-07-27 14:09:22.950679;2018-07-27 14:09:22_660.0256319292138
315;4;13;2018-07-27 14:09:22.953456;2018-07-27 14:09:22_660.0256319292138
316;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:09:22.956696;2018-07-27 14:09:22_660.0256319292138
317;No;14;2018-07-27 14:09:22.959585;2018-07-27 14:09:22_660.0256319292138
318;Empresa;7;2018-07-27 14:09:22.962318;2018-07-27 14:09:22_660.0256319292138
319;4;25;2018-07-27 14:09:22.965081;2018-07-27 14:09:22_660.0256319292138
320;Sí;11;2018-07-27 14:09:22.967966;2018-07-27 14:09:22_660.0256319292138
321;5 (Lo más importante);18;2018-07-27 14:09:22.971010;2018-07-27 14:09:22_660.0256319292138
322;Sí;15;2018-07-27 14:09:22.974723;2018-07-27 14:09:22_660.0256319292138
323;4;16;2018-07-27 14:09:22.979360;2018-07-27 14:09:22_660.0256319292138
324;3;19;2018-07-27 14:09:22.982213;2018-07-27 14:09:22_660.0256319292138
325;Sí;26;2018-07-27 14:10:41.591802;2018-07-27 14:10:41_635.8150582497134
326;Sí;23;2018-07-27 14:10:41.598549;2018-07-27 14:10:41_635.8150582497134
327;3.0 A;8;2018-07-27 14:10:41.601078;2018-07-27 14:10:41_635.8150582497134
328;Otros;9;2018-07-27 14:10:41.603739;2018-07-27 14:10:41_635.8150582497134
329;transferencia;27;2018-07-27 14:10:41.606967;2018-07-27 14:10:41_635.8150582497134
330;3;17;2018-07-27 14:10:41.609559;2018-07-27 14:10:41_635.8150582497134
331;Sí;24;2018-07-27 14:10:41.611860;2018-07-27 14:10:41_635.8150582497134
332;Sí;12;2018-07-27 14:10:41.614120;2018-07-27 14:10:41_635.8150582497134
333;No;6;2018-07-27 14:10:41.616833;2018-07-27 14:10:41_635.8150582497134
334;17003;4;2018-07-27 14:10:41.620792;2018-07-27 14:10:41_635.8150582497134
335;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 14:10:41.623848;2018-07-27 14:10:41_635.8150582497134
336;No;10;2018-07-27 14:10:41.626904;2018-07-27 14:10:41_635.8150582497134
337;Menor de 10 kW;2;2018-07-27 14:10:41.629631;2018-07-27 14:10:41_635.8150582497134
338;5 (El máximo a cambio de la máxima calidad);22;2018-07-27 14:10:41.632446;2018-07-27 14:10:41_635.8150582497134
339;5 (Me encantaría);21;2018-07-27 14:10:41.634816;2018-07-27 14:10:41_635.8150582497134
340;432;1;2018-07-27 14:10:41.637097;2018-07-27 14:10:41_635.8150582497134
341;Domiciliada;5;2018-07-27 14:10:41.639884;2018-07-27 14:10:41_635.8150582497134
342;5 (cobertura máxima);13;2018-07-27 14:10:41.642606;2018-07-27 14:10:41_635.8150582497134
343;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:10:41.644753;2018-07-27 14:10:41_635.8150582497134
344;Sí;14;2018-07-27 14:10:41.647024;2018-07-27 14:10:41_635.8150582497134
345;Administración pública;7;2018-07-27 14:10:41.649217;2018-07-27 14:10:41_635.8150582497134
346;5 (El máximo a cambio de olvidarme de cualquier gestión);25;2018-07-27 14:10:41.651401;2018-07-27 14:10:41_635.8150582497134
347;No;11;2018-07-27 14:10:41.653549;2018-07-27 14:10:41_635.8150582497134
348;5 (Lo más importante);18;2018-07-27 14:10:41.656410;2018-07-27 14:10:41_635.8150582497134
349;Sí;15;2018-07-27 14:10:41.658971;2018-07-27 14:10:41_635.8150582497134
350;3;16;2018-07-27 14:10:41.661252;2018-07-27 14:10:41_635.8150582497134
351;3;19;2018-07-27 14:10:41.663364;2018-07-27 14:10:41_635.8150582497134
352;Sí;26;2018-07-27 14:25:03.741523;2018-07-27 14:25:03_626.7349096501811
353;Sí;23;2018-07-27 14:25:03.748968;2018-07-27 14:25:03_626.7349096501811
354;6.1 A;8;2018-07-27 14:25:03.751636;2018-07-27 14:25:03_626.7349096501811
355;Vehículo eléctrico;9;2018-07-27 14:25:03.753938;2018-07-27 14:25:03_626.7349096501811
356;prorrogada;27;2018-07-27 14:25:03.756301;2018-07-27 14:25:03_626.7349096501811
357;5 (Lo más importante);17;2018-07-27 14:25:03.758683;2018-07-27 14:25:03_626.7349096501811
358;Sí;24;2018-07-27 14:25:03.761445;2018-07-27 14:25:03_626.7349096501811
359;Sí;12;2018-07-27 14:25:03.764159;2018-07-27 14:25:03_626.7349096501811
360;Sí;6;2018-07-27 14:25:03.766446;2018-07-27 14:25:03_626.7349096501811
361;43005;4;2018-07-27 14:25:03.768635;2018-07-27 14:25:03_626.7349096501811
362;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 14:25:03.770764;2018-07-27 14:25:03_626.7349096501811
363;No;10;2018-07-27 14:25:03.772996;2018-07-27 14:25:03_626.7349096501811
364;Mayor de 450 kW;2;2018-07-27 14:25:03.775269;2018-07-27 14:25:03_626.7349096501811
365;5 (El máximo a cambio de la máxima calidad);22;2018-07-27 14:25:03.777861;2018-07-27 14:25:03_626.7349096501811
366;5 (Me encantaría);21;2018-07-27 14:25:03.780610;2018-07-27 14:25:03_626.7349096501811
367;1200000;1;2018-07-27 14:25:03.782892;2018-07-27 14:25:03_626.7349096501811
368;Domiciliada;5;2018-07-27 14:25:03.785039;2018-07-27 14:25:03_626.7349096501811
369;5 (cobertura máxima);13;2018-07-27 14:25:03.787084;2018-07-27 14:25:03_626.7349096501811
370;Precio indexado al Mercado Eléctrico;3;2018-07-27 14:25:03.789283;2018-07-27 14:25:03_626.7349096501811
371;Sí;14;2018-07-27 14:25:03.791499;2018-07-27 14:25:03_626.7349096501811
372;Empresa;7;2018-07-27 14:25:03.794065;2018-07-27 14:25:03_626.7349096501811
373;5 (El máximo a cambio de olvidarme de cualquier gestión);25;2018-07-27 14:25:03.796627;2018-07-27 14:25:03_626.7349096501811
374;No;11;2018-07-27 14:25:03.798863;2018-07-27 14:25:03_626.7349096501811
375;5 (Lo más importante);18;2018-07-27 14:25:03.801170;2018-07-27 14:25:03_626.7349096501811
376;Sí;15;2018-07-27 14:25:03.803565;2018-07-27 14:25:03_626.7349096501811
377;5 (Lo más importante);16;2018-07-27 14:25:03.805786;2018-07-27 14:25:03_626.7349096501811
378;5 (Es muy relevante para mi);19;2018-07-27 14:25:03.808095;2018-07-27 14:25:03_626.7349096501811
379;Sí;26;2018-07-27 14:26:31.436507;2018-07-27 14:26:31_655.3273679521302
380;Sí;23;2018-07-27 14:26:31.443516;2018-07-27 14:26:31_655.3273679521302
381;6.1 A;8;2018-07-27 14:26:31.446482;2018-07-27 14:26:31_655.3273679521302
382;Otros;9;2018-07-27 14:26:31.449131;2018-07-27 14:26:31_655.3273679521302
383;paypal;27;2018-07-27 14:26:31.452116;2018-07-27 14:26:31_655.3273679521302
384;3;17;2018-07-27 14:26:31.454777;2018-07-27 14:26:31_655.3273679521302
385;Sí;24;2018-07-27 14:26:31.457165;2018-07-27 14:26:31_655.3273679521302
386;Sí;12;2018-07-27 14:26:31.459859;2018-07-27 14:26:31_655.3273679521302
387;Sí;6;2018-07-27 14:26:31.462692;2018-07-27 14:26:31_655.3273679521302
388;08206;4;2018-07-27 14:26:31.465209;2018-07-27 14:26:31_655.3273679521302
389;Prefiero un precio más alto y no tener permanencia.;20;2018-07-27 14:26:31.467503;2018-07-27 14:26:31_655.3273679521302
390;Sí;10;2018-07-27 14:26:31.469776;2018-07-27 14:26:31_655.3273679521302
391;Mayor de 450 kW;2;2018-07-27 14:26:31.472056;2018-07-27 14:26:31_655.3273679521302
392;5 (El máximo a cambio de la máxima calidad);22;2018-07-27 14:26:31.474354;2018-07-27 14:26:31_655.3273679521302
393;5 (Me encantaría);21;2018-07-27 14:26:31.476998;2018-07-27 14:26:31_655.3273679521302
394;700000;1;2018-07-27 14:26:31.479615;2018-07-27 14:26:31_655.3273679521302
395;Domiciliada;5;2018-07-27 14:26:31.482080;2018-07-27 14:26:31_655.3273679521302
396;4;13;2018-07-27 14:26:31.484398;2018-07-27 14:26:31_655.3273679521302
397;Precio fijo anual;3;2018-07-27 14:26:31.486777;2018-07-27 14:26:31_655.3273679521302
398;Sí;14;2018-07-27 14:26:31.489090;2018-07-27 14:26:31_655.3273679521302
399;Empresa;7;2018-07-27 14:26:31.491474;2018-07-27 14:26:31_655.3273679521302
400;5 (El máximo a cambio de olvidarme de cualquier gestión);25;2018-07-27 14:26:31.494163;2018-07-27 14:26:31_655.3273679521302
401;Sí;11;2018-07-27 14:26:31.496589;2018-07-27 14:26:31_655.3273679521302
402;5 (Lo más importante);18;2018-07-27 14:26:31.498760;2018-07-27 14:26:31_655.3273679521302
403;Sí;15;2018-07-27 14:26:31.501101;2018-07-27 14:26:31_655.3273679521302
404;4;16;2018-07-27 14:26:31.503663;2018-07-27 14:26:31_655.3273679521302
405;5 (Es muy relevante para mi);19;2018-07-27 14:26:31.506046;2018-07-27 14:26:31_655.3273679521302
406;No;26;2018-07-27 14:28:36.410451;2018-07-27 14:28:36_224.0365198927453
407;Sí;23;2018-07-27 14:28:36.417157;2018-07-27 14:28:36_224.0365198927453
408;Otros;8;2018-07-27 14:28:36.419708;2018-07-27 14:28:36_224.0365198927453
409;Smart home;9;2018-07-27 14:28:36.424367;2018-07-27 14:28:36_224.0365198927453
410;prorrogada;27;2018-07-27 14:28:36.427421;2018-07-27 14:28:36_224.0365198927453
411;4;17;2018-07-27 14:28:36.429958;2018-07-27 14:28:36_224.0365198927453
412;Tal vez;24;2018-07-27 14:28:36.432497;2018-07-27 14:28:36_224.0365198927453
413;Sí;12;2018-07-27 14:28:36.434963;2018-07-27 14:28:36_224.0365198927453
414;Sí;6;2018-07-27 14:28:36.437339;2018-07-27 14:28:36_224.0365198927453
415;41006;4;2018-07-27 14:28:36.440042;2018-07-27 14:28:36_224.0365198927453
416;Prefiero un precio más alto y no tener permanencia.;20;2018-07-27 14:28:36.443100;2018-07-27 14:28:36_224.0365198927453
417;Sí;10;2018-07-27 14:28:36.445896;2018-07-27 14:28:36_224.0365198927453
418;Mayor de 450 kW;2;2018-07-27 14:28:36.448180;2018-07-27 14:28:36_224.0365198927453
419;5 (El máximo a cambio de la máxima calidad);22;2018-07-27 14:28:36.450593;2018-07-27 14:28:36_224.0365198927453
420;5 (Me encantaría);21;2018-07-27 14:28:36.452871;2018-07-27 14:28:36_224.0365198927453
421;8340000;1;2018-07-27 14:28:36.455138;2018-07-27 14:28:36_224.0365198927453
422;Domiciliada;5;2018-07-27 14:28:36.457882;2018-07-27 14:28:36_224.0365198927453
423;4;13;2018-07-27 14:28:36.460628;2018-07-27 14:28:36_224.0365198927453
424;Precio fijo anual;3;2018-07-27 14:28:36.463335;2018-07-27 14:28:36_224.0365198927453
425;Sí;14;2018-07-27 14:28:36.466246;2018-07-27 14:28:36_224.0365198927453
426;Empresa;7;2018-07-27 14:28:36.468530;2018-07-27 14:28:36_224.0365198927453
427;3;25;2018-07-27 14:28:36.470704;2018-07-27 14:28:36_224.0365198927453
428;Sí;11;2018-07-27 14:28:36.473214;2018-07-27 14:28:36_224.0365198927453
429;5 (Lo más importante);18;2018-07-27 14:28:36.476294;2018-07-27 14:28:36_224.0365198927453
430;Sí;15;2018-07-27 14:28:36.478990;2018-07-27 14:28:36_224.0365198927453
431;3;16;2018-07-27 14:28:36.481399;2018-07-27 14:28:36_224.0365198927453
432;4;19;2018-07-27 14:28:36.483914;2018-07-27 14:28:36_224.0365198927453
